Class,Vertical,Category,Name,Alias,Datatype,Description,isEnable,ExecLevel,isExposed
Transactional,LMS,Postpaid Collections,LMS_POSTPAID_account_details.TotalAmount,LMS Account Details,Double,Account details of customer who took the loan,1,NESTED,1
Transactional,LMS,Postpaid Collections,LMS_POSTPAID_account_details.BalanceAmount,LMS Account Details,Double,Account details of customer who took the loan,1,NESTED,1
Transactional,LMS,Postpaid Collections,LMS_POSTPAID_account_details.DueDate,LMS Account Details,Date,Account details of customer who took the loan,1,NESTED,1
Transactional,LMS,Postpaid Collections,LMS_POSTPAID_account_details.LateFee,LMS Account Details,Double,Account details of customer who took the loan,1,NESTED,1
Transactional,LMS,Postpaid Collections,LMS_POSTPAIDV2_contact_by_SMS,Contact By SMS V2,Integer,Flag for if the customer can be contacted by SMS,1,LMSV2,1
Transactional,LMS,Postpaid Collections,LMS_POSTPAIDV2_contact_by_IVR,Contact By IVR V2,Integer,Flag for if the customer can be contacted by IVR,1,LMSV2,1
Transactional,LMS,Postpaid Collections,LMS_POSTPAIDV2_contact_by_telecalling,Contact By Telecalling V2,Integer,Flag for if the customer can be contacted by Telecalling,1,LMSV2,1
Transactional,LMS,Postpaid Collections,LMS_POSTPAIDV2_account_details,LMS Account Details V2,Nested,Account details of customer who took the loan,1,LMSV2,1
Transactional,LMS,Postpaid Collections,LMS_POSTPAIDV2_account_details.AccountNumber,LMS Account Details V2,String,Account details of customer who took the loan,1,NESTED,1
Transactional,LMS,Postpaid Collections,LMS_POSTPAIDV2_account_details.TotalAmount,LMS Account Details V2,Double,Account details of customer who took the loan,1,NESTED,1
Transactional,LMS,Postpaid Collections,LMS_POSTPAIDV2_account_details.BalanceAmount,LMS Account Details V2,Double,Account details of customer who took the loan,1,NESTED,1
Transactional,LMS,Postpaid Collections,LMS_POSTPAIDV2_account_details.DueDate,LMS Account Details V2,Date,Account details of customer who took the loan,1,NESTED,1
Transactional,LMS,Postpaid Collections,LMS_POSTPAIDV2_account_details.LateFee,LMS Account Details V2,Double,Account details of customer who took the loan,1,NESTED,1
Transactional,LMS,Postpaid Collections,LMS_POSTPAIDV2_account_details.ProductSource,LMS Account Details V2,String,Account details of customer who took the loan,1,NESTED,1
Transactional,LMS,Postpaid Collections,LMS_POSTPAIDV2_account_details.ProductType,LMS Account Details V2,String,Account details of customer who took the loan,1,NESTED,1
Transactional,LMS,Postpaid Collections,LMS_POSTPAIDV2_account_details.Status,LMS Account Details V2,String,Account details of customer who took the loan,1,NESTED,1
Transactional,LMS,Postpaid Collections,LMS_POSTPAIDV2_account_details.DPD,LMS Account Details V2,Integer,Account details of customer who took the loan,1,NESTED,1
Transactional,LMS,Postpaid Collections,LMS_POSTPAIDV2_max_dpd,Days Past Due,Integer,Max Account Days Past Due,1,LMSV2,1
Transactional,Recharge and Utilities,All,RU_total_transaction_count,Total Transaction Count,Long,Count of all transactions done by customer,1,RU,1
Transactional,Recharge and Utilities,All,RU_total_transaction_size,Total Transaction Size,Double,Amount of all transactions done by customer in last 1 Day,1,RU,1
Transactional,Recharge and Utilities,All,RU_avg_transaction_size,Avg Transaction Size,Double,Average amount of all transactions done by customer,1,RU,1
Transactional,Recharge and Utilities,All,RU_first_transaction_size,First Transaction Size,Double,Amount of first transaction made by customer,0,RU,0
Transactional,Recharge and Utilities,All,RU_first_transaction_date,First Transaction Date,Date,Date at which first transaction was made by customer,1,RU,1
Transactional,Recharge and Utilities,All,RU_first_transaction_type,First Transaction Type,String,Vertical in which first transaction was made by customer,1,L3RU,1
Transactional,Recharge and Utilities,All,RU_last_transaction_date,Last Transaction Date,Date,Date at which last transaction was made by customer,1,RU,1
Transactional,Recharge and Utilities,All,RU_last_transaction_size,Last Transaction Size,Double,Amount of last transaction made by customer,0,RU,0
Transactional,Recharge and Utilities,All,RU_last_transaction_type,Last Transaction Type,String,Vertical in which last transaction was made by customer,1,L3RU,1
Behavioural,Recharge and Utilities,All,RU_preferable_transaction_type_by_count,Preferable Transaction Type By Count,String,Vertical which has maximum count of transactions done by customer,1,L3RU,1
Behavioural,Recharge and Utilities,All,RU_preferable_transaction_type_by_size,Preferable Transaction Type By Size,String,Vertical which has maximum amount of transactions done by customer,0,L3RU,0
Transactional,Recharge and Utilities,All,RU_total_discount_transaction_count,Total Discount Transaction Count,Long,Count of all discount transactions done by customer,0,RU,0
Transactional,Recharge and Utilities,All,RU_total_discount_transaction_size,Total Discount Transaction Size,Double,Amount of all discount transactions done by customer,0,RU,0
Transactional,Recharge and Utilities,All,RU_percentage_discount_by_transaction_count,Percentage Discount By Transaction Count,Double,Percent of discount transactions count out of total transactions count,0,RU,0
Transactional,Recharge and Utilities,All,RU_percentage_discount_by_transaction_size,Percentage Discount By Transaction Size,Double,Percent of discount transactions amount out of total transactions amount,0,RU,0
Transactional,Recharge and Utilities,All,RU_total_cashback_transaction_count,Total Cashback Transaction Count,Long,Count of all cashback transactions done by customer,1,RU,1
Transactional,Recharge and Utilities,All,RU_total_cashback_transaction_size,Total Cashback Transaction Size,Double,Amount of all cashback transactions done by customer,1,RU,1
Transactional,Recharge and Utilities,All,RU_percentage_cashback_by_transaction_count,Percentage Cashback By Transaction Count,Double,Percent of cashback transactions count out of total transactions count,1,RU,1
Transactional,Recharge and Utilities,All,RU_percentage_cashback_by_transaction_size,Percentage Cashback By Transaction Size,Double,Percent of cashback transactions amount out of total transactions amount,1,RU,1
Transactional,Bookings,All,BK_total_transaction_count,Total Transaction Count,Long,Count of all transactions done by customer,1,BK,1
Transactional,Bookings,All,BK_total_transaction_size,Total Transaction Size,Double,Amount of all transactions done by customer,1,BK,1
Transactional,Bookings,All,BK_avg_transaction_size,Avg Transaction Size,Double,Average amount of all transactions done by customer,1,BK,1
Behavioural,Bookings,All,BK_preferable_transaction_type_by_count,Preferable Transaction Type By Count,String,Vertical which has maximum count of transactions done by customer,0,L3BK,0
Behavioural,Bookings,All,BK_preferable_transaction_type_by_size,Preferable Transaction Type By Size,String,Vertical which has maximum amount of transactions done by customer,0,L3BK,0
Transactional,Bookings,All,BK_first_transaction_size,First Transaction Size,Double,Amount of first transaction made by customer,0,BK,0
Transactional,Bookings,All,BK_first_transaction_date,First Transaction Date,Date,Date at which first transaction was made by customer,1,BK,1
Transactional,Bookings,All,BK_first_transaction_type,First Transaction Type,String,Vertical in which first transaction was made by customer,1,L3BK,1
Transactional,Bookings,All,BK_last_transaction_size,Last Transaction Size,Double,Amount of last transaction made by customer,0,BK,0
Transactional,Bookings,All,BK_last_transaction_type,Last Transaction Type,String,Vertical in which last transaction was made by customer,1,L3BK,1
Transactional,Bookings,All,BK_last_transaction_date,Last Transaction Date,Date,Date at which last transaction was made by customer,1,BK,1
