Class,Vertical,Category,Field,Alias,Type,Description
Transactional,Billers,Billers,biller_category_name_paid_multiple_times_120_days,Biller Category Name Paid Multiple Times In The Past 120 Days,List[String],List of all biller categories customer has paid multiple times in the last 120 days
Transactional,Billers,Billers,preferred_biller_category_name_150_days,Preferred Biller Category Name In The Past 150 Days,String,Most-paid biller category last 150 days
Transactional,Billers,Billers,biller_category_name_paid_150_days,Biller Category Name Paid In The Past 150 Days,List[String],List of all biller categories customer has paid in the last 150 days
Transactional,Billers,Billers,biller_category_name_paid_multiple_times_150_days,Biller Category Name Paid Multiple Times In The Past 150 Days,List[String],List of all biller categories customer has paid multiple times in the last 150 days
Transactional,Billers,Billers,preferred_biller_category_name_180_days,Preferred Biller Category Name In The Past 180 Days,String,Most-paid biller category last 180 days
Transactional,Billers,Billers,biller_category_name_paid_180_days,Biller Category Name Paid In The Past 180 Days,List[String],List of all biller categories customer has paid in the last 180 days
Transactional,Billers,Billers,biller_category_name_paid_multiple_times_180_days,Biller Category Name Paid Multiple Times In The Past 180 Days,List[String],List of all biller categories customer has paid multiple times in the last 180 days
Transactional,Billers,Billers,preferred_biller_category_name_730_days,Preferred Biller Category Name In The Past 2 Years,String,Most-paid biller category last 2 years days
Transactional,Billers,Billers,biller_category_name_paid_730_days,Biller Category Name Paid In The Past 2 Years,List[String],List of all biller categories customer has paid in the last 2 years days
Transactional,Billers,Billers,biller_category_name_paid_multiple_times_730_days,Biller Category Name Paid Multiple Times In The Past 2 Years,List[String],List of all biller categories customer has paid multiple times in the last 2 years days
Transactional,All,All,total_created_orders,Total Created Orders,Long,Total number of orders created but not completed
Transactional,Gift Cards,Gift Cards,gift_card_created_orders,Total Created Gift Card Orders,Long,Total number of gift card orders created but not completed
Transactional,Billers,Billers,canadian_biller_created_orders,Total Created Canadian Biller Orders,Long,Total number of Canadian biller orders created but not completed
Transactional,Billers,Billers,indian_biller_created_orders,Total Created Indian Biller Orders,Long,Total number of Indian biller orders created but not completed
Transactional,All,All,total_failed_orders,Total Failed Orders,Long,Total number orders where order state = failed
Transactional,Billers,Billers,created_orders_biller_name_0_days,Created Orders Biller Name 0 Days,String,Names of biller orders created where there is no order completed for same biller in last 0 day
Transactional,Billers,Billers,exists_created_orders_biller_name_0_days,Exists Created Orders Biller Name 0 Days,Integer,If customer has created but not completed biller orders in last 0 day then 1 else 0
Transactional,Billers,Billers,created_orders_biller_name_1_days,Created Orders Biller Name 1 Days,String,Names of biller orders created where there is no order completed for same biller in last 1 days
Transactional,Billers,Billers,exists_created_orders_biller_name_1_days,Exists Created Orders Biller Name 1 Days,Integer,If customer has created but not completed biller orders in last 1 days then 1 else 0
Transactional,Billers,Billers,created_orders_biller_name_2_days,Created Orders Biller Name 2 Days,String,Names of biller orders created where there is no order completed for same biller in last 2 days
Transactional,Billers,Billers,exists_created_orders_biller_name_2_days,Exists Created Orders Biller Name 2 Days,Integer,If customer has created but not completed biller orders in last 2 days then 1 else 0
Transactional,Gift Cards,Gift Cards,created_orders_gift_card_name_amount_0_days,Created Orders Gift Card Name Amount 0 Days,String,Names of gift card orders created where there is no order completed for same gift card in last 0 day
Transactional,Gift Cards,Gift Cards,exists_created_orders_gift_card_name_amount_0_days,Exists Created Orders Gift Card Name Amount 0 Days,Integer,If customer has created but not completed biller orders in last 0 day then 1 else 0
Transactional,Gift Cards,Gift Cards,created_orders_gift_card_name_amount_1_days,Created Orders Gift Card Name Amount 1 Days,String,Names of gift card orders created where there is no order completed for same gift card in last 1 day
Transactional,Gift Cards,Gift Cards,exists_created_orders_gift_card_name_amount_1_days,Exists Created Orders Gift Card Name Amount 1 Days,Integer,If customer has created but not completed biller orders in last 1 day then 1 else 0
Transactional,Gift Cards,Gift Cards,created_orders_gift_card_name_amount_2_days,Created Orders Gift Card Name Amount 2 Days,String,Names of gift card orders created where there is no order completed for same gift card in last 2 day
Transactional,Gift Cards,Gift Cards,exists_created_orders_gift_card_name_amount_2_days,Exists Created Orders Gift Card Name Amount 2 Days,Integer,If customer has created but not completed biller orders in last 2 day then 1 else 0
Behavioural,All,All,max_time_between_orders,Max Time Between Orders,Integer,Maximum number of days between any two orders
Behavioural,Payments,Payments,added_credit_card,Added Credit Card,Integer,1 if customer has a credit card added as payment method 0 otherwise
Behavioural,Payments,Payments,added_pad,Added Pad,Integer,1 if customer has a bank account added as payment method 0 otherwise
Behavioural,Payments,Payments,added_visa,Added Visa,Integer,1 if customer has a visa added as payment method 0 otherwise
Behavioural,Payments,Payments,added_mastercard,Added Mastercard,Integer,1 if customer has a mastercard added as payment method 0 otherwise
Behavioural,Payments,Payments,added_american_express,Added American Express,Integer,1 if customer has an american express added as payment method 0 otherwise
Behavioural,Payments,Payments,count_payment_methods_added,Count Payment Methods Added,Long,Total number of non-deleted payment methods added to account
Behavioural,Payments,Payments,count_bank_accounts_added,Count Bank Accounts Added,Long,Total number of non-deleted bank accounts added to account
Behavioural,Payments,Payments,count_credit_cards_added,Count Credit Cards Added,Long,Total number of non-deleted credit cards added to account
Behavioural,Payments,Payments,bank_account_providers,Bank Account Providers,List[String],List of all non-deleted bank accounts added as payment methods
Behavioural,Payments,Payments,types_of_credit_cards_added,Types Of Credit Cards Added,List[String],List of all non-deleted credit cards added as payment methods
Behavioural,Payments,Payments,bank_link_attempted_providers,List of Banks Attempted to Link Unsuccessfully,String,List of all providers who were attempted to be linked in form of a string
Behavioural,Payments,Payments,bank_link_attempted_last_7_days,Num of Days Unsuccessful Bank Link Attempted in Last 7 days,Integer,Num of days in last 7 days when a bank link was unsuccessfully attempted
Behavioural,Payments,Payments,num_of_cc_expiring_next_month,Num of Expiring Credit Cards,Integer,Num of credit cards expiring next month
Behavioural,Payments,Payments,cc_expiring_next_month,Last 4 Digits of Expiring Credit Cards,String,Comma seperated string of credit card last 4 digits
Transactional,Billers,Billers,total_biller_cat_credit_card_orders,Total Biller Category Credit Card Orders,Long,Total bills paid in the credit cards biller category
Transactional,Billers,Billers,total_biller_cat_education_orders,Total Biller Category Education Orders,Long,Total bills paid in the eduction biller category 
Transactional,Billers,Billers,total_biller_cat_liabilities_orders,Total Biller Category Liabilities Orders,Long,Total bills paid in the liabilities biller category 
Transactional,Billers,Billers,total_biller_cat_insurance_orders,Total Biller Category Insurance Orders,Long,Total bills paid in the insurance biller category
Transactional,Billers,Billers,total_biller_cat_rent_orders,Total Biller Category Rent Orders,Long,Total bills paid in the rent biller category
Transactional,Billers,Billers,total_biller_cat_loans_orders,Total Biller Category Loans Orders,Long,Total bills paid in the loans biller category
Transactional,Billers,Billers,total_biller_cat_investments_orders,Total Biller Category Investments Orders,Long,Total bills paid in the investments biller category
Transactional,Billers,Billers,total_biller_cat_internet_orders,Total Biller Category Internet Orders,Long,Total bills paid in the internet biller category
Transactional,Billers,Billers,total_biller_cat_auto_orders,Total Biller Category Auto Orders,Long,Total bills paid in the auto biller category
Transactional,Billers,Billers,total_biller_cat_utilties_orders,Total Biller Category Utilties Orders,Long,Total bills paid in the utilties biller category
Transactional,Billers,Billers,total_biller_cat_cable_orders,Total Biller Category Cable Orders,Long,Total bills paid in the cable biller category
Transactional,Billers,Billers,total_biller_cat_lifestyle_orders,Total Biller Category Lifestyle Orders,Long,Total bills paid in the lifestyle biller category
Transactional,Billers,Billers,total_biller_cat_mobile_orders,Total Biller Category Mobile Orders,Long,Total bills paid in the mobile biller category
Transactional,Billers,Billers,total_biller_cat_taxes_orders,Total Biller Category Taxes Orders,Long,Total bills paid in the taxes biller category
Transactional,Billers,Billers,total_biller_cat_securities_orders,Total Biller Category Securities Orders,Long,Total bills paid in the securities biller category
Transactional,All,All,loyalty_points,Loyalty Points,Long,Customer points score
Behavioural,All,All,days_since_first_order,Days Since First Order,Integer,Number of days between today and when customer made their first order
Behavioural,Billers,Billers,days_since_first_bill_order,Days Since First Bill Order,Integer,Number of days between today and when customer made their first bill order
Behavioural,Gift Cards,Gift Cards,days_since_first_gc_order,Days Since First Gift Card Order,Integer,Number of days between today and when customer made their first gift card order
Behavioural,All,All,days_since_last_order,Days Since Last Order,Integer,Days since most recent order
Behavioural,All,All,days_to_first_order,Days To First Order,Integer,Number of days between when customer signed up and when they made their first order
Behavioural,Payments,Payments,days_to_add_payment_method,Days To Add Payment Method,Integer,Number of days between when customer signed up and when they added a payment method
Behavioural,All,All,avg_time_between_orders,Avg Time Between Orders,Double,Average number of days between orders = total days active / total orders
Behavioural,Billers,Billers,avg_time_between_bill_orders,Avg Time Between Bill Orders,Double,Average number of days between bill orders = total days active / total bill orders
Behavioural,Gift Cards,Gift Cards,avg_time_between_gc_orders,Avg Time Between Gift Card Orders,Double,Average number of days between gift card orders = total days active / total gift card orders
Transactional,Payments,Payments,preferred_payment_type_orders,Preferred Payment Type Orders,String,Most used payment type for all types of orders
Transactional,Payments,Payments,preferred_payment_type_dollars,Preferred Payment Type Dollars,String,Preferred payment type for orders in terms of dollars spent
Behavioural,Wallet,Wallet,active_last_35_days,Active Last 35 Days,Integer,1 if customer made an order in the psat month 0 otherwise
Profile,Profile,Profile,resurrected_user,Resurrected User,Integer,1 if a customer was previously dormant and now they're active 0 otherwise
Profile,Profile,Profile,customer_segment,Customer Segment,String,Customer segment - signup / created / new_active / repeat / dormant / qualified / resurrected
Email,Channel,Channel,latest_delivery_date,Latest Delivery Date,DateTime,When the customer last received a promo email
Email,Channel,Channel,latest_open_date,Latest Open Date,DateTime,When the customer last opened a promo email
Email,Channel,Channel,campaigns_opened_1_days,Campaigns Opened in 1 Day,Integer,Number of promo emails opened in the last day
Email,Channel,Channel,campaigns_opened_7_days,Campaigns Opened in 7 Days,Integer,Number of promo emails opened in the last week
Email,Channel,Channel,campaigns_opened_30_days,Campaigns Opened in 30 Days,Integer,Number of promo emails opened in the last month
